[github.com/flipped-aurora/gin-vue-admin/server]2025-06-12 16:24:35.161	[31merror[0m	D:/games/ga/gin-vue-admin-main/server/utils/claims.go:49	重新写入cookie token失败,未能成功解析token,请检查请求头是否存在x-token且claims是否为规定结构
[github.com/flipped-aurora/gin-vue-admin/server]2025-06-12 18:36:23.345	[31merror[0m	D:/games/ga/gin-vue-admin-main/server/api/v1/system/sys_user.go:190	修改失败!	{"error": "Error 1292 (22007): Incorrect date value: '0000-00-00' for column 'birthday' at row 1"}
[github.com/flipped-aurora/gin-vue-admin/server]2025-06-12 18:39:38.394	[31merror[0m	D:/games/ga/gin-vue-admin-main/server/api/v1/system/sys_user.go:190	修改失败!	{"error": "Error 1292 (22007): Incorrect date value: '0000-00-00' for column 'birthday' at row 1"}
[github.com/flipped-aurora/gin-vue-admin/server]2025-06-12 18:41:02.834	[31merror[0m	D:/games/ga/gin-vue-admin-main/server/api/v1/system/sys_user.go:540	登陆失败! 用户名不存在或者密码错误!	{"error": "password error"}
[github.com/flipped-aurora/gin-vue-admin/server]2025-06-12 20:02:19.034	[31merror[0m	D:/games/ga/gin-vue-admin-main/server/api/v1/system/sys_user.go:213	修改失败!	{"error": "old password error"}
[github.com/flipped-aurora/gin-vue-admin/server]2025-06-12 20:02:36.293	[31merror[0m	D:/games/ga/gin-vue-admin-main/server/api/v1/system/sys_user.go:213	修改失败!	{"error": "old password error"}
[github.com/flipped-aurora/gin-vue-admin/server]2025-06-12 20:05:41.663	[31merror[0m	D:/games/ga/gin-vue-admin-main/server/api/v1/system/sys_user.go:219	修改失败!	{"error": "old password error"}
[github.com/flipped-aurora/gin-vue-admin/server]2025-06-12 20:19:23.630	[31merror[0m	D:/games/ga/gin-vue-admin-main/server/api/v1/system/sys_user.go:203	修改失败!	{"error": "old password error"}
[github.com/flipped-aurora/gin-vue-admin/server]2025-06-12 20:23:06.250	[31merror[0m	D:/games/ga/gin-vue-admin-main/server/api/v1/system/sys_user.go:63	登陆失败! 用户名不存在或者密码错误!	{"error": "password error"}
[github.com/flipped-aurora/gin-vue-admin/server]2025-06-12 20:23:11.546	[31merror[0m	D:/games/ga/gin-vue-admin-main/server/api/v1/system/sys_user.go:63	登陆失败! 用户名不存在或者密码错误!	{"error": "password error"}
[github.com/flipped-aurora/gin-vue-admin/server]2025-06-12 20:26:05.082	[31merror[0m	D:/games/ga/gin-vue-admin-main/server/api/v1/system/sys_user.go:539	登陆失败! 用户名不存在或者密码错误!	{"error": "record not found"}
